Model,gaussian_noise,jpeg_compression,motion_blur,occlusion,rotation,salt_and_pepper
resnet18,0.9781105770151483,0.9879924162629031,0.26311812494848,0.545773270336152,0.6730087902407262,0.6410419877374076
resnet50,0.917660915027673,0.9865735634890148,0.27213526162977075,0.5747238857624364,0.6820958691613842,0.10041799252713624
mobilenetv2_100,0.06971867399505909,0.9744854335245792,0.25614804773724364,0.606262601944085,0.6427983223854301,0.3593904183251472
efficientnet_b0,0.0362525614263554,0.9853158031698039,0.1966367774612799,0.6036745011887206,0.6386330122373939,0.04007517213087489
vit_tiny_patch16_224,0.9555125725338491,0.9606128948314104,0.41733909746201253,0.5541695506936711,0.48351111706915373,0.8098244874879424
swin_tiny_patch4_window7_224,0.9196047264300898,0.9219135305270201,0.3028090968208755,0.48001745463300133,0.48651780071624184,0.784146219773153
deit_tiny_distilled_patch16_224,0.9719918800390678,0.9742933617516947,0.5111328894221522,0.5874085888832044,0.488394584139265,0.8564689055691683
